,Number of vCPUs,Number of Threads,Max Prime,Events per second,Total Time,Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
32,32,7,100000,371.05,30.0182,11139.0,18.57,18.86,44.16,18.95,210.03472,1591.2857,30.005
33,32,7,500000,38.2,30.1528,1152.0,181.08,182.87,283.8,186.54,210.66741,164.5714,30.0953
34,32,7,1000000,14.15,30.4615,431.0,485.27,491.76,690.8,502.2,211.94876000000002,61.5714,30.2784
35,32,8,10000,10569.58,30.0008,317114.0,0.73,0.76,4.36,0.77,239.83197,39639.25,29.979
36,32,8,50000,1117.48,30.007,33536.0,6.99,7.16,20.71,7.17,239.98421,4192.0,29.998
37,32,8,100000,422.85,30.0118,12692.0,18.58,18.91,44.34,18.95,240.04046,1586.5,30.0051
38,32,8,500000,43.62,30.1674,1316.0,181.05,183.06,364.26,189.93,240.90660999999997,164.5,30.1133
39,32,8,1000000,16.11,30.4105,490.0,485.13,492.85,843.96,511.33,241.49785999999997,61.25,30.1872
40,32,9,10000,11887.79,30.0006,356661.0,0.73,0.76,5.98,0.77,269.8109,39629.0,29.979
41,32,9,50000,1259.02,30.0048,37781.0,6.99,7.15,18.08,7.17,269.96934000000005,4197.8889,29.9966
42,32,9,100000,473.02,30.0184,14201.0,18.57,19.02,41.64,18.95,270.04352,1577.8889,30.0048
43,32,9,500000,48.86,30.1816,1475.0,181.02,183.63,300.12,189.93,270.85759,163.8889,30.0953
44,32,9,1000000,18.24,30.4859,556.0,485.27,491.1,616.12,502.2,273.05108,61.7778,30.339
45,32,10,10000,13118.42,30.0006,393582.0,0.73,0.76,5.06,0.77,299.78875,39358.2,29.9789
46,32,10,50000,1382.93,30.0065,41502.0,6.99,7.23,21.21,7.17,299.97651,4150.2,29.9977
47,32,10,100000,516.19,30.018,15497.0,18.59,19.36,42.82,19.29,300.06597,1549.7,30.0066
48,32,10,500000,54.22,30.1319,1634.0,181.07,184.01,364.21,189.93,300.66939,163.4,30.0669
49,32,10,1000000,20.05,30.4722,611.0,485.29,494.23,758.6,520.62,301.97175,61.1,30.1972
50,32,11,10000,14378.3,30.0007,431411.0,0.73,0.76,5.32,0.77,329.78032,39219.1818,29.98
51,32,11,50000,1510.78,30.0068,45336.0,6.99,7.28,21.73,7.3,329.97302,4121.4545,29.9975
52,32,11,100000,577.06,30.0158,17322.0,18.56,19.05,43.69,18.95,330.06413,1574.7273,30.0058
53,32,11,500000,58.95,30.1576,1778.0,180.83,186.1,362.94,204.11,330.87915000000004,161.6364,30.0799
54,32,11,1000000,22.04,30.4439,671.0,485.18,495.24,743.86,530.08,332.30599,61.0,30.2096
55,32,12,10000,15586.91,30.0007,467675.0,0.73,0.77,7.07,0.78,359.7477,38972.9167,29.979
56,32,12,50000,1664.87,30.0068,49960.0,6.99,7.21,20.2,7.17,359.97375,4163.3333,29.9978
57,32,12,100000,626.45,30.0178,18806.0,18.57,19.15,42.96,19.29,360.09069,1567.1667,30.0076
58,32,12,500000,64.3,30.185,1941.0,181.1,185.87,363.35,193.38,360.76784999999995,161.75,30.064
59,32,12,1000000,23.62,30.473,720.0,485.35,502.81,960.41,559.5,362.02482000000003,60.0,30.1687
60,32,13,10000,16755.98,30.0009,502722.0,0.73,0.78,5.16,0.78,389.72015000000005,38670.9231,29.9785
61,32,13,50000,1743.94,30.0087,52336.0,6.99,7.45,21.17,13.7,389.98681,4025.8462,29.999
62,32,13,100000,663.72,30.0312,19934.0,18.56,19.57,41.68,22.28,390.16517,1533.3846,30.0127
63,32,13,500000,67.98,30.1821,2052.0,181.09,190.71,362.36,235.74,391.34102,157.8462,30.1032
64,32,13,1000000,25.71,30.452,783.0,485.24,501.94,962.36,569.67,393.01574,60.2308,30.232
65,32,14,10000,17869.35,30.0008,536126.0,0.73,0.78,8.15,1.14,419.70752000000005,38294.7143,29.9791
66,32,14,50000,1859.47,30.0071,55800.0,6.99,7.53,19.08,13.7,419.95378999999997,3985.7143,29.9967
67,32,14,100000,712.77,30.0159,21397.0,18.57,19.63,43.97,24.38,420.06753000000003,1528.3571,30.0048
68,32,14,500000,70.8,30.2077,2139.0,181.09,196.91,363.08,344.08,421.19725,152.7857,30.0855
69,32,14,1000000,26.34,30.5556,805.0,485.22,526.81,968.8,746.32,424.07984000000005,57.5,30.2914
70,32,15,10000,18644.22,30.0007,559371.0,0.73,0.8,5.68,1.42,449.68674,37291.4,29.9791
71,32,15,50000,1970.91,30.0104,59151.0,6.99,7.61,32.2,13.7,449.98566,3943.4,29.999
72,32,15,100000,697.25,30.022,20934.0,18.56,21.5,42.99,36.24,450.16103000000004,1395.6,30.0107
73,32,15,500000,76.49,30.1558,2307.0,181.13,195.7,363.23,320.17,451.47917,153.8,30.0986
74,32,15,1000000,28.12,30.4704,857.0,485.46,529.81,960.4,787.74,454.0471,57.1333,30.2698
75,32,16,10000,19309.14,30.001,579364.0,0.73,0.83,11.26,1.42,479.66465000000005,36210.25,29.979
76,32,16,50000,1957.17,30.0071,58732.0,6.99,8.17,19.45,13.7,479.96984999999995,3670.75,29.9981
77,32,16,100000,739.01,30.0269,22193.0,18.57,21.63,45.6,36.24,480.11505999999997,1387.0625,30.0072
78,32,16,500000,77.64,30.1624,2342.0,181.08,205.45,363.28,356.7,481.17507,146.375,30.0734
79,32,16,1000000,29.05,30.5992,889.0,485.79,545.42,965.41,960.3,484.87851,55.5625,30.3049
80,32,17,10000,18977.88,30.0011,569388.0,0.73,0.9,9.01,1.42,509.67493,33493.4118,29.9809
81,32,17,50000,2061.44,30.0067,61862.0,6.99,8.24,21.26,13.7,509.96014,3638.9412,29.9977
82,32,17,100000,778.91,30.0224,23386.0,18.59,21.81,43.59,36.24,510.12353,1375.6471,30.0073
83,32,17,500000,78.68,30.284,2383.0,181.1,214.92,371.26,356.7,512.1599199999999,140.1765,30.1271
84,32,17,1000000,29.13,30.4804,888.0,485.11,579.16,966.95,960.3,514.29317,52.2353,30.2525
85,32,18,10000,19351.18,30.0011,580590.0,0.73,0.93,13.8,1.42,539.66616,32255.0,29.9815
86,32,18,50000,2060.24,30.0091,61829.0,6.99,8.73,27.16,13.7,539.99097,3434.9444,29.9995
87,32,18,100000,779.77,30.0228,23413.0,18.57,23.07,44.21,36.24,540.12552,1300.7222,30.007
88,32,18,500000,79.72,30.2158,2409.0,181.1,224.88,365.09,356.7,541.74695,133.8333,30.0971
89,32,18,1000000,30.64,30.5442,936.0,485.43,584.14,970.62,960.3,546.75541,52.0,30.3753
90,32,19,10000,20447.66,30.0008,613480.0,0.73,0.93,14.57,1.42,569.60613,32288.4211,29.9793
91,32,19,50000,2148.14,30.0091,64467.0,6.99,8.84,25.82,13.7,570.01063,3393.0,30.0006
92,32,19,100000,801.48,30.0307,24072.0,18.58,23.68,81.64,36.24,570.14353,1266.9474,30.0076
93,32,19,500000,81.48,30.2003,2461.0,180.89,232.4,371.92,356.7,571.9315300000001,129.5263,30.1017
94,32,19,1000000,30.29,30.4977,924.0,485.7,621.25,970.43,960.3,574.03909,48.6316,30.2126
95,32,20,10000,20707.32,30.0011,621277.0,0.73,0.97,16.53,1.42,599.61504,31063.85,29.9808
96,32,20,50000,2158.5,30.0128,64788.0,6.99,9.26,27.85,13.7,600.00579,3239.4,30.0003
97,32,20,100000,796.17,30.0226,23906.0,18.57,25.1,52.61,36.24,600.1535799999999,1195.3,30.0077
98,32,20,500000,83.19,30.2405,2516.0,181.16,239.36,373.19,356.7,602.23912,125.8,30.112
99,32,20,1000000,30.81,30.5404,941.0,485.71,643.43,1006.26,960.3,605.46907,47.05,30.2735
100,32,21,10000,20691.87,30.0008,620807.0,0.73,1.01,20.87,1.42,629.59422,29562.2381,29.9807
101,32,21,50000,2174.9,30.0118,65276.0,6.99,9.65,87.03,13.7,630.00778,3108.381,30.0004
102,32,21,100000,809.75,30.0315,24321.0,18.59,25.91,67.59,36.24,630.24609,1158.1429,30.0117
103,32,21,500000,83.91,30.2537,2539.0,181.12,248.98,384.73,356.7,632.1621700000001,120.9048,30.103
104,32,21,1000000,31.07,30.6028,951.0,486.31,669.35,993.32,960.3,636.55036,45.2857,30.3119
105,32,22,10000,21116.12,30.0014,633549.0,0.73,1.04,19.92,1.42,659.5966,28797.6818,29.9817
106,32,22,50000,2208.05,30.0118,66271.0,6.99,9.96,38.59,13.7,659.99886,3012.3182,29.9999
107,32,22,100000,815.13,30.0329,24484.0,18.6,26.96,58.95,36.24,660.19552,1112.9091,30.0089
108,32,22,500000,84.04,30.2928,2546.0,181.3,260.28,389.06,356.7,662.6795400000001,115.7273,30.1218
109,32,22,1000000,31.19,30.6191,955.0,486.1,696.67,1001.87,960.3,665.32148,43.4091,30.2419
110,32,23,10000,21186.97,30.0012,635670.0,0.73,1.08,18.44,1.42,689.59842,27637.8261,29.9825
111,32,23,50000,2202.24,30.007,66086.0,6.99,10.44,48.84,13.7,689.9671099999999,2873.3043,29.9986
112,32,23,100000,832.8,30.0307,25011.0,18.57,27.6,68.65,36.24,690.26626,1087.4348,30.0116
113,32,23,500000,85.09,30.2351,2573.0,181.2,269.25,392.61,356.7,692.78771,111.8696,30.1212
114,32,23,1000000,31.21,30.6244,956.0,487.21,727.61,1037.65,960.3,695.59487,41.5652,30.2433
115,32,24,10000,21281.25,30.0011,638497.0,0.73,1.13,47.15,1.42,719.58323,26604.0417,29.9826
116,32,24,50000,2240.46,30.0113,67245.0,6.99,10.71,55.77,13.7,720.01134,2801.875,30.0005
117,32,24,100000,845.93,30.0271,25404.0,18.58,28.35,71.42,36.24,720.14787,1058.5,30.0062
118,32,24,500000,85.57,30.2534,2589.0,181.34,279.31,414.73,356.7,723.14123,107.875,30.1309
119,32,24,1000000,31.61,30.5592,966.0,488.31,752.74,1115.77,960.3,727.1447800000001,40.25,30.2977
120,32,25,10000,21432.05,30.001,643022.0,0.73,1.17,28.29,1.42,749.47586,25720.88,29.979
121,32,25,50000,2239.7,30.0111,67219.0,6.99,11.16,54.19,13.7,749.98467,2688.76,29.9994
122,32,25,100000,843.49,30.0286,25332.0,18.59,29.62,72.98,36.89,750.22887,1013.28,30.0092
123,32,25,500000,85.58,30.2476,2589.0,181.2,291.06,456.36,363.18,753.5574200000001,103.56,30.1423
124,32,25,1000000,31.79,30.696,976.0,488.65,778.78,1101.85,977.74,760.0852199999999,39.04,30.4034
125,32,26,10000,21711.67,30.0012,651412.0,0.73,1.2,28.42,1.42,779.57873,25054.3077,29.9838
126,32,26,50000,2259.86,30.0104,67825.0,7.0,11.5,42.93,13.95,779.96798,2608.6538,29.9988
127,32,26,100000,848.21,30.0452,25487.0,18.6,30.61,84.66,36.89,780.11852,980.2692,30.0046
128,32,26,500000,86.67,30.2138,2619.0,181.72,298.69,416.09,363.18,782.2694200000001,100.7308,30.0873
129,32,26,1000000,32.28,30.541,986.0,489.67,798.07,1085.23,977.74,786.89752,37.9231,30.2653
130,32,27,10000,21930.08,30.0015,657969.0,0.73,1.23,30.6,1.44,809.52314,24369.2222,29.9823
131,32,27,50000,2274.85,30.0113,68277.0,7.0,11.86,57.52,13.95,809.99972,2528.7778,30.0
132,32,27,100000,853.42,30.0303,25631.0,18.62,31.61,93.79,37.56,810.31491,949.2963,30.0117
133,32,27,500000,86.84,30.2475,2627.0,181.9,309.6,446.54,376.49,813.30888,97.2963,30.1226
134,32,27,1000000,32.25,30.5996,987.0,491.21,830.71,1089.21,995.51,819.91234,36.5556,30.3671
135,32,28,10000,22023.3,30.0012,660762.0,0.73,1.27,37.33,1.44,839.50804,23598.6429,29.9824
136,32,28,50000,2273.14,30.0103,68221.0,7.01,12.31,82.32,14.46,839.90999,2436.4643,29.9968
137,32,28,100000,857.31,30.0334,25751.0,18.64,32.63,93.55,39.65,840.30924,919.6786,30.011
138,32,28,500000,87.31,30.2672,2643.0,182.15,318.91,449.89,383.33,842.87575,94.3929,30.1027
139,32,28,1000000,32.3,30.5852,988.0,492.7,856.45,1164.03,995.51,846.1685,35.2857,30.2203
140,32,29,10000,22104.57,30.0011,663196.0,0.73,1.31,35.48,1.47,869.35785,22868.8276,29.9779
141,32,29,50000,2294.25,30.0109,68856.0,6.99,12.63,94.75,15.0,869.77002,2374.3448,29.9921
142,32,29,100000,862.63,30.024,25902.0,18.61,33.59,102.62,40.37,870.0767900000001,893.1724,30.0026
143,32,29,500000,87.39,30.2861,2647.0,182.91,330.11,499.97,390.3,873.8116,91.2759,30.1314
144,32,29,1000000,32.51,30.6337,996.0,490.82,882.56,1153.98,1013.6,879.03347,34.3448,30.3115
145,32,30,10000,22185.89,30.001,665633.0,0.73,1.35,49.74,1.5,899.49921,22187.7667,29.9833
146,32,30,50000,2299.74,30.0124,69024.0,7.0,13.04,54.71,15.27,900.04288,2300.8,30.0014
147,32,30,100000,861.41,30.0276,25868.0,18.62,34.8,130.24,41.85,900.3080699999999,862.2667,30.0103
148,32,30,500000,87.86,30.2859,2661.0,182.97,339.61,506.35,397.39,903.69178,88.7,30.1231
149,32,30,1000000,32.47,30.7935,1000.0,500.64,911.66,1224.97,1032.01,911.66009,33.3333,30.3887
150,32,31,10000,22266.7,30.0013,668062.0,0.73,1.39,61.74,1.52,929.31288,21550.3871,29.9778
151,32,31,50000,2304.44,30.0114,69163.0,7.0,13.44,59.01,15.83,929.88545,2231.0645,29.9963
152,32,31,100000,865.42,30.0337,25995.0,18.69,35.79,116.3,42.61,930.2329599999999,838.5484,30.0075
153,32,31,500000,88.13,30.238,2665.0,183.76,350.25,559.69,404.61,933.41509,85.9677,30.1102
154,32,31,1000000,32.57,30.7282,1001.0,500.3,939.15,1247.16,1050.76,940.08563,32.2903,30.3253
155,32,32,10000,22342.03,30.0012,670321.0,0.73,1.43,49.61,1.55,959.3738199999999,20947.5312,29.9804
156,32,32,50000,2307.87,30.0123,69268.0,7.03,13.86,99.77,16.71,959.82802,2164.625,29.9946
157,32,32,100000,866.2,30.0318,26016.0,18.68,36.91,121.85,44.98,960.1773000000001,813.0,30.0055
158,32,32,500000,88.26,30.3059,2675.0,187.04,360.91,593.94,419.45,965.42872,83.5938,30.1696
159,32,32,1000000,32.6,30.7363,1002.0,535.76,968.55,1322.48,1089.3,970.48471,31.3125,30.3276
160,32,33,10000,22325.57,30.0013,669829.0,0.73,1.48,48.89,1.58,989.31646,20297.8485,29.9793
161,32,33,50000,2306.98,30.0136,69246.0,7.02,14.29,93.8,21.11,989.86328,2098.3636,29.9959
162,32,33,100000,866.47,30.0342,26027.0,18.7,38.05,144.69,52.89,990.27106,788.697,30.0082
163,32,33,500000,88.18,30.2884,2671.0,190.5,372.37,738.06,458.96,994.61002,80.9394,30.1397
164,32,33,1000000,32.55,30.7494,1001.0,537.39,998.44,1673.84,1191.92,999.4383,30.3333,30.286
165,32,34,10000,22337.83,30.0016,670204.0,0.73,1.52,55.53,1.61,1019.21113,19711.8824,29.9768
166,32,34,50000,2309.26,30.0128,69313.0,7.03,14.71,78.39,25.74,1019.92826,2038.6176,29.9979
167,32,34,100000,866.88,30.0302,26035.0,18.74,39.19,150.27,64.47,1020.20538,765.7353,30.006
168,32,34,500000,88.27,30.3339,2678.0,186.19,383.12,753.74,530.08,1025.99425,78.7647,30.1763
169,32,34,1000000,32.71,30.7202,1005.0,562.94,1027.27,1910.24,1304.21,1032.40411,29.5588,30.3648
170,32,35,10000,22324.55,30.0155,670115.0,0.73,1.57,48.79,1.64,1049.18848,19146.1429,29.9768
171,32,35,50000,2306.77,30.0435,69311.0,7.03,15.14,87.79,26.2,1049.65554,1980.3143,29.9902
172,32,35,100000,867.03,30.0341,26042.0,18.79,40.33,129.17,69.29,1050.24326,744.0571,30.007
173,32,35,500000,88.16,30.3391,2675.0,193.13,394.56,947.59,569.67,1055.4463500000002,76.4286,30.1556
174,32,35,1000000,32.68,30.6892,1003.0,671.33,1058.5,1953.06,1401.61,1061.67832,28.6571,30.3337
175,32,36,10000,22321.71,30.0013,669714.0,0.73,1.61,54.36,1.67,1079.32285,18603.1667,29.9812
176,32,36,50000,2308.09,30.0121,69274.0,7.03,15.59,91.58,29.19,1079.7897600000001,1924.2778,29.9942
177,32,36,100000,866.91,30.0397,26045.0,18.76,41.48,133.3,73.13,1080.3744199999999,723.4722,30.0104
178,32,36,500000,88.17,30.3223,2674.0,200.14,405.76,842.92,601.29,1084.99107,74.2778,30.1386
179,32,36,1000000,32.7,30.7265,1005.0,652.41,1088.28,2066.53,1506.29,1093.72606,27.9167,30.3813
180,32,37,10000,22343.0,30.0012,670349.0,0.73,1.65,54.83,1.7,1109.15586,18117.5405,29.9772
181,32,37,50000,2306.74,30.0128,69235.0,7.03,16.03,99.72,29.72,1109.7451999999998,1871.2162,29.9931
182,32,37,100000,865.0,30.0321,25981.0,18.75,42.73,148.72,75.82,1110.19273,702.1892,30.0052
183,32,37,500000,88.21,30.3004,2673.0,183.72,417.47,888.4,646.19,1115.90248,72.2432,30.1595
184,32,37,1000000,32.7,30.7617,1006.0,651.72,1118.41,2044.57,1589.9,1125.12239,27.1892,30.4087
185,32,38,10000,22304.41,30.0015,669199.0,0.73,1.7,72.31,1.82,1139.18519,17610.5,29.9786
186,32,38,50000,2308.99,30.0143,69306.0,7.03,16.44,73.63,31.37,1139.54526,1823.8421,29.988
187,32,38,100000,865.88,30.0404,26014.0,18.75,43.83,177.95,77.19,1140.1962800000001,684.5789,30.0052
188,32,38,500000,88.21,30.3218,2675.0,184.57,428.49,969.97,669.89,1146.2070700000002,70.3947,30.1633
189,32,38,1000000,32.7,30.8248,1008.0,654.18,1147.48,2285.96,1739.68,1156.65679,26.5263,30.4383
190,32,39,10000,22333.67,30.0016,670078.0,0.73,1.75,85.77,1.89,1169.30886,17181.4872,29.9823
191,32,39,50000,2306.16,30.0138,69220.0,7.03,16.9,86.06,33.72,1169.63173,1774.8718,29.9906
192,32,39,100000,866.48,30.0475,26037.0,18.78,44.95,153.97,80.03,1170.40801,667.6154,30.0105
193,32,39,500000,88.12,30.3182,2672.0,211.3,440.13,910.19,669.89,1176.02683,68.5128,30.1545
194,32,39,1000000,32.68,30.8095,1007.0,650.23,1178.69,2346.65,1771.29,1186.94277,25.8205,30.4344
195,32,40,10000,22286.45,30.0015,668660.0,0.73,1.79,53.51,2.22,1198.9130400000001,16716.5,29.9728
196,32,40,50000,2305.45,30.0141,69202.0,7.03,17.34,99.69,33.72,1199.65149,1730.05,29.9913
197,32,40,100000,866.05,30.0368,26016.0,18.74,46.13,170.54,80.03,1200.18294,650.4,30.0046
198,32,40,500000,88.25,30.3189,2676.0,231.85,450.74,921.37,707.07,1206.1923000000002,66.9,30.1548
199,32,40,1000000,32.7,30.7633,1006.0,623.19,1206.79,2420.06,1803.47,1214.03024,25.15,30.3508
