,Number of Threads,Max Prime,Events per second,Total Time,Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
55,37,500000,88.21,30.3004,2673.0,183.72,417.47,888.4,646.19,1115902.48,72.2432,30.1595
164,37,1000000,32.7,30.7617,1006.0,651.72,1118.41,2044.57,1589.9,1125122.39,27.1892,30.4087
103,38,10000,22304.41,30.0015,669199.0,0.73,1.7,72.31,1.82,1139185.19,17610.5,29.9786
80,38,50000,2308.99,30.0143,69306.0,7.03,16.44,73.63,31.37,1139545.26,1823.8421,29.988
11,38,100000,865.88,30.0404,26014.0,18.75,43.83,177.95,77.19,1140196.28,684.5789,30.0052
139,38,500000,88.21,30.3218,2675.0,184.57,428.49,969.97,669.89,1146207.07,70.3947,30.1633
175,38,1000000,32.7,30.8248,1008.0,654.18,1147.48,2285.96,1739.68,1156656.79,26.5263,30.4383
17,39,10000,22333.67,30.0016,670078.0,0.73,1.75,85.77,1.89,1169308.86,17181.4872,29.9823
124,39,50000,2306.16,30.0138,69220.0,7.03,16.9,86.06,33.72,1169631.73,1774.8718,29.9906
135,39,100000,866.48,30.0475,26037.0,18.78,44.95,153.97,80.03,1170408.01,667.6154,30.0105
76,39,500000,88.12,30.3182,2672.0,211.3,440.13,910.19,669.89,1176026.83,68.5128,30.1545
60,39,1000000,32.68,30.8095,1007.0,650.23,1178.69,2346.65,1771.29,1186942.77,25.8205,30.4344
137,40,10000,22286.45,30.0015,668660.0,0.73,1.79,53.51,2.22,1198913.04,16716.5,29.9728
116,40,50000,2305.45,30.0141,69202.0,7.03,17.34,99.69,33.72,1199651.49,1730.05,29.9913
12,40,100000,866.05,30.0368,26016.0,18.74,46.13,170.54,80.03,1200182.94,650.4,30.0046
30,40,500000,88.25,30.3189,2676.0,231.85,450.74,921.37,707.07,1206192.3,66.9,30.1548
145,40,1000000,32.7,30.7633,1006.0,623.19,1206.79,2420.06,1803.47,1214030.24,25.15,30.3508
