,Number of vCPUs,Number of Threads,Max Prime,Events per second,Total Time,Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
25,4,6,10000,5284.66,30.0022,158560.0,0.73,1.13,20.79,0.78,179.8281,26426.6667,29.9713
26,4,6,50000,559.89,30.0152,16806.0,7.02,10.71,44.73,19.29,179.9739,2801.0,29.9956
27,4,6,100000,211.39,30.0186,6346.0,18.68,28.36,60.58,42.61,180.00238000000002,1057.6667,30.0004
28,4,6,500000,21.8,30.1813,658.0,181.72,274.35,383.82,369.77,180.52246,109.6667,30.0871
29,4,6,1000000,8.11,30.691,249.0,495.85,734.89,993.8,960.3,182.98806,41.5,30.498
30,4,7,10000,5290.64,30.0011,158733.0,0.73,1.32,20.77,1.18,209.80471,22676.1429,29.9721
31,4,7,50000,559.28,30.0045,16783.0,7.02,12.51,41.51,19.29,209.93702,2397.5714,29.991
32,4,7,100000,211.78,30.0249,6359.0,18.66,33.03,55.94,42.61,210.02011,908.4286,30.0029
33,4,7,500000,21.79,30.1874,658.0,181.98,320.15,401.49,376.49,210.66074,94.0,30.0944
34,4,7,1000000,8.13,30.5178,248.0,523.23,855.65,1023.28,995.51,212.20107000000002,35.4286,30.3144
35,4,8,10000,5276.53,30.0016,158312.0,0.73,1.51,21.15,12.75,239.80080999999998,19789.0,29.9751
36,4,8,50000,560.07,30.0088,16808.0,7.02,14.27,36.34,19.29,239.91451999999998,2101.0,29.9893
37,4,8,100000,211.49,30.0266,6351.0,18.76,37.79,84.94,42.61,240.02873000000002,793.875,30.0036
38,4,8,500000,21.77,30.2153,658.0,183.43,366.61,494.04,383.33,241.22851,82.25,30.1536
39,4,8,1000000,8.13,30.5154,248.0,859.75,981.37,1023.94,995.51,243.37891,31.0,30.4224
40,4,9,10000,5291.02,30.0019,158749.0,0.73,1.7,32.77,12.75,269.65653000000003,17638.7778,29.9618
41,4,9,50000,560.39,30.0099,16818.0,7.01,16.05,43.6,23.1,269.87838,1868.6667,29.9865
42,4,9,100000,211.73,30.0318,6359.0,18.75,42.47,78.8,66.84,270.09189000000003,706.5556,30.0102
43,4,9,500000,21.81,30.2131,659.0,181.94,411.35,574.89,520.62,271.08152,73.2222,30.1202
44,4,9,1000000,8.09,30.524,247.0,581.51,1100.24,1499.99,1258.08,271.75809999999996,27.4444,30.1953
45,4,10,10000,5285.94,30.0019,158596.0,0.73,1.89,36.76,12.75,299.58835999999997,15859.6,29.9588
46,4,10,50000,559.91,30.012,16805.0,7.02,17.84,54.75,23.1,299.84282,1680.5,29.9843
47,4,10,100000,211.44,30.0255,6349.0,18.77,47.26,90.72,66.84,300.02461,634.9,30.0025
48,4,10,500000,21.8,30.273,660.0,182.7,456.93,562.35,539.71,301.57649,66.0,30.1576
49,4,10,1000000,8.1,30.7239,249.0,733.66,1220.73,1480.43,1401.61,303.9606,24.9,30.3961
50,30,1,10000,1322.23,30.0019,39677.0,0.73,0.76,13.79,0.77,29.972330000000003,39677.0,29.9723
51,30,1,50000,140.19,30.0057,4207.0,7.02,7.13,16.61,7.17,29.996290000000002,4207.0,29.9963
52,30,1,100000,52.86,30.0155,1587.0,18.64,18.91,33.94,18.95,30.01021,1587.0,30.0102
53,30,1,500000,5.47,30.1494,165.0,181.6,182.7,195.71,186.54,30.14555,165.0,30.1455
54,30,1,1000000,2.04,30.3946,62.0,486.67,490.21,507.31,493.24,30.3932,62.0,30.3932
55,30,2,10000,2648.84,30.0007,79476.0,0.73,0.75,2.69,0.77,59.958169999999996,39738.0,29.9791
56,30,2,50000,280.49,30.0013,8416.0,7.02,7.13,13.58,7.17,59.98575,4208.0,29.9929
57,30,2,100000,105.94,30.0134,3180.0,18.64,18.87,28.52,18.95,60.010239999999996,1590.0,30.0051
58,30,2,500000,10.92,30.0238,328.0,181.73,183.03,203.24,186.54,60.035199999999996,164.0,30.0176
59,30,2,1000000,4.08,30.4081,124.0,487.09,490.32,504.62,493.24,60.79922,62.0,30.3996
60,30,3,10000,3975.62,30.0005,119286.0,0.73,0.75,1.88,0.77,89.93016,39762.0,29.9767
61,30,3,50000,420.5,30.0011,12617.0,7.01,7.13,14.34,7.17,89.97948,4205.6667,29.9932
62,30,3,100000,158.95,30.0115,4771.0,18.66,18.86,34.02,18.95,90.00471,1590.3333,30.0016
63,30,3,500000,16.38,30.1602,494.0,181.62,182.89,193.73,186.54,90.34642,164.6667,30.1155
64,30,3,1000000,6.08,30.4194,185.0,486.69,490.55,539.19,493.24,90.75161999999999,61.6667,30.2505
65,30,4,10000,5291.46,30.0009,158768.0,0.73,0.76,3.36,0.78,119.89994,39692.0,29.975
66,30,4,50000,559.16,30.0072,16781.0,7.01,7.15,15.58,7.17,119.99155999999999,4195.25,29.9979
67,30,4,100000,211.78,30.0181,6358.0,18.67,18.88,29.89,18.95,120.02883,1589.5,30.0072
68,30,4,500000,21.82,30.1561,658.0,181.62,183.0,206.46,186.54,120.41271,164.5,30.1032
69,30,4,1000000,8.14,30.4812,248.0,486.61,491.22,555.09,502.2,121.82249,62.0,30.4556
70,30,5,10000,6621.31,30.0008,198669.0,0.73,0.75,1.96,0.78,149.87431,39733.8,29.9749
71,30,5,50000,699.56,30.0057,20992.0,7.01,7.14,14.69,7.17,149.977,4198.4,29.9954
72,30,5,100000,264.9,30.0189,7953.0,18.65,18.86,31.33,18.95,150.02891,1590.6,30.0058
73,30,5,500000,27.16,30.148,819.0,181.57,183.52,280.08,189.93,150.30136,163.8,30.0603
74,30,5,1000000,10.09,30.4321,307.0,486.9,491.72,565.1,502.2,150.95742,61.4,30.1915
75,30,6,10000,7922.43,30.001,237710.0,0.73,0.76,2.68,0.78,179.84671,39618.3333,29.9745
76,30,6,50000,838.74,30.007,25171.0,7.0,7.15,20.15,7.17,179.98644000000002,4195.1667,29.9977
77,30,6,100000,316.83,30.0157,9511.0,18.65,18.93,37.98,18.95,180.03897,1585.1667,30.0065
78,30,6,500000,32.65,30.1636,985.0,181.7,183.22,242.65,186.54,180.46932999999999,164.1667,30.0782
79,30,6,1000000,12.2,30.4816,372.0,486.55,490.43,533.19,493.24,182.43909,62.0,30.4065
80,30,7,10000,9237.33,30.0011,277176.0,0.73,0.76,5.3,0.78,209.80809,39596.5714,29.9726
81,30,7,50000,979.52,30.0072,29394.0,7.0,7.14,15.48,7.17,209.97312,4199.1429,29.9962
82,30,7,100000,370.43,30.0172,11120.0,18.63,18.89,37.12,18.95,210.0432,1588.5714,30.0062
83,30,7,500000,38.03,30.1557,1147.0,181.67,183.63,264.16,189.93,210.61846,163.8571,30.0884
84,30,7,1000000,14.23,30.4847,434.0,486.99,490.68,564.03,502.2,212.95413,62.0,30.422
85,30,8,10000,10524.14,30.0009,315751.0,0.73,0.76,5.99,0.78,239.78710999999998,39468.875,29.9734
86,30,8,50000,1118.62,30.0066,33569.0,7.0,7.15,14.86,7.17,239.97892000000002,4196.125,29.9974
87,30,8,100000,423.47,30.0189,12713.0,18.65,18.88,37.4,18.95,240.07382,1589.125,30.0092
88,30,8,500000,43.44,30.1782,1311.0,181.59,183.46,261.52,186.54,240.51223000000002,163.875,30.064
89,30,8,1000000,16.09,30.4588,490.0,487.1,494.03,622.8,511.33,242.07435,61.25,30.2593
90,30,9,10000,11716.44,30.0009,351523.0,0.73,0.77,3.52,0.8,269.76135,39058.1111,29.9735
91,30,9,50000,1256.22,30.0071,37700.0,7.0,7.16,15.81,7.17,269.98172999999997,4188.8889,29.998
92,30,9,100000,473.53,30.0164,14215.0,18.63,19.0,43.05,19.29,270.05275,1579.4444,30.0059
93,30,9,500000,48.82,30.1521,1472.0,181.66,183.83,249.12,189.93,270.59258,163.5556,30.0658
94,30,9,1000000,18.11,30.4763,552.0,486.93,493.5,598.75,520.62,272.4114,61.3333,30.2679
95,30,10,10000,13142.4,30.0009,394333.0,0.73,0.76,4.16,0.78,299.74771999999996,39433.3,29.9748
96,30,10,50000,1392.41,30.0073,41787.0,7.0,7.18,18.75,7.17,299.97072,4178.7,29.9971
97,30,10,100000,525.42,30.0187,15774.0,18.64,19.02,38.24,19.29,300.07221999999996,1577.4,30.0072
98,30,10,500000,53.89,30.1706,1626.0,181.6,184.87,340.88,193.38,300.60654,162.6,30.0607
99,30,10,1000000,20.08,30.481,612.0,486.77,493.6,616.39,511.33,302.08529,61.2,30.2085
100,30,11,10000,14384.35,30.001,431569.0,0.73,0.76,10.7,0.78,329.71449,39233.5455,29.974
101,30,11,50000,1532.65,30.0071,45996.0,7.0,7.17,19.84,7.17,329.97628000000003,4181.4545,29.9978
102,30,11,100000,577.44,30.0139,17333.0,18.62,19.04,40.14,19.29,330.04647,1575.7273,30.0042
103,30,11,500000,59.56,30.1844,1798.0,181.59,184.05,277.99,189.93,330.9176,163.4545,30.0834
104,30,11,1000000,22.03,30.3625,669.0,486.87,495.38,670.87,520.62,331.41206,60.8182,30.1284
105,30,12,10000,15679.42,30.002,470446.0,0.73,0.76,9.31,0.78,359.68271000000004,39203.8333,29.9736
106,30,12,50000,1656.75,30.0054,49714.0,7.0,7.24,19.97,7.3,359.93563,4142.8333,29.9946
107,30,12,100000,625.54,30.0178,18779.0,18.65,19.17,41.95,19.29,360.06593,1564.9167,30.0055
108,30,12,500000,64.42,30.1895,1945.0,181.63,185.72,358.4,193.38,361.22686,162.0833,30.1022
109,30,12,1000000,24.01,30.4856,732.0,486.69,496.97,969.26,520.62,363.78322,61.0,30.3153
110,30,13,10000,16721.79,30.0009,501698.0,0.73,0.78,6.92,0.8,389.64342999999997,38592.1538,29.9726
111,30,13,50000,1768.47,30.0073,53073.0,7.0,7.35,18.92,7.3,389.96337,4082.5385,29.9972
112,30,13,100000,666.27,30.0185,20003.0,18.65,19.5,41.9,20.37,390.07995,1538.6923,30.0062
113,30,13,500000,68.28,30.1804,2061.0,181.61,189.88,358.99,231.53,391.34508,158.5385,30.1035
114,30,13,1000000,25.92,30.4737,790.0,487.05,498.11,858.13,530.08,393.50817,60.7692,30.2699
115,30,14,10000,17769.9,30.0009,533144.0,0.73,0.79,6.71,1.1,419.63626,38081.7143,29.974
116,30,14,50000,1905.58,30.0074,57186.0,7.0,7.34,20.39,7.43,419.97224,4084.7143,29.998
117,30,14,100000,709.22,30.0191,21293.0,18.65,19.73,43.52,24.83,420.06757,1520.9286,30.0048
118,30,14,500000,74.02,30.1778,2234.0,181.73,188.5,365.24,215.44,421.10907000000003,159.5714,30.0792
119,30,14,1000000,26.6,30.4838,811.0,487.14,522.01,967.03,719.92,423.34842,57.9286,30.2392
120,30,15,10000,18460.34,30.0008,553856.0,0.73,0.81,12.42,1.42,449.63667,36923.7333,29.9758
121,30,15,50000,1897.06,30.007,56930.0,7.02,7.9,20.34,13.7,449.96664000000004,3795.3333,29.9978
122,30,15,100000,708.43,30.0212,21269.0,18.63,21.16,49.07,36.89,450.14449,1417.9333,30.0096
123,30,15,500000,75.27,30.1813,2272.0,181.64,198.72,362.45,356.7,451.49851,151.4667,30.0999
124,30,15,1000000,27.45,30.4826,837.0,486.8,542.02,977.57,877.61,453.67409999999995,55.8,30.2449
125,30,16,10000,19160.19,30.0014,574865.0,0.73,0.83,14.44,1.42,479.6071,35929.0625,29.9754
126,30,16,50000,2024.51,30.0113,60761.0,7.01,7.9,21.83,13.7,480.00069,3797.5625,30.0
127,30,16,100000,752.01,30.0264,22583.0,18.65,21.26,45.45,36.89,480.11339000000004,1411.4375,30.0071
128,30,16,500000,76.92,30.1832,2322.0,181.68,207.31,364.75,356.7,481.37816,145.125,30.0861
129,30,16,1000000,30.47,30.4538,928.0,487.14,522.28,968.36,746.32,484.67557,58.0,30.2922
130,30,17,10000,20168.02,30.0011,605098.0,0.73,0.84,7.65,1.42,509.58421000000004,35594.0,29.9755
131,30,17,50000,2064.47,30.0072,61952.0,7.01,8.23,27.14,13.7,509.98333,3644.2353,29.999
132,30,17,100000,793.36,30.0244,23823.0,18.65,21.41,46.63,36.89,510.1622,1401.3529,30.0095
133,30,17,500000,73.81,30.2085,2230.0,181.72,229.39,365.77,356.7,511.53345,131.1765,30.0902
134,30,17,1000000,27.26,30.4786,831.0,487.16,619.76,971.29,960.3,515.01828,48.8824,30.2952
135,30,18,10000,19959.82,30.0015,598859.0,0.73,0.9,14.93,1.42,539.56915,33269.9444,29.9761
136,30,18,50000,2128.47,30.0097,63878.0,7.01,8.45,25.36,13.7,539.97815,3548.7778,29.9988
137,30,18,100000,715.55,30.0304,21491.0,18.63,25.14,44.12,36.89,540.18936,1193.9444,30.0105
138,30,18,500000,80.52,30.2504,2436.0,181.82,222.47,375.07,356.7,541.9354599999999,135.3333,30.1075
139,30,18,1000000,27.73,30.5729,848.0,487.22,644.99,975.5,960.3,546.95126,47.1111,30.3862
140,30,19,10000,19686.33,30.0011,590645.0,0.73,0.96,13.81,1.42,569.57048,31086.5789,29.9774
141,30,19,50000,2027.48,30.0095,60849.0,7.01,9.37,23.02,13.7,570.00697,3202.5789,30.0004
142,30,19,100000,729.67,30.028,21913.0,18.63,26.02,57.11,36.89,570.17452,1153.3158,30.0092
143,30,19,500000,74.93,30.2642,2268.0,181.7,252.32,379.37,356.7,572.26432,119.3684,30.1192
144,30,19,1000000,27.49,30.4804,838.0,487.02,686.49,1001.54,960.3,575.27988,44.1053,30.2779
145,30,20,10000,19790.23,30.0013,593804.0,0.73,1.01,8.58,1.42,599.57181,29690.2,29.9786
146,30,20,50000,2049.69,30.0094,61514.0,7.01,9.75,19.9,13.7,600.00758,3075.7,30.0004
147,30,20,100000,757.67,30.0246,22751.0,18.66,26.38,48.51,36.89,600.19948,1137.55,30.01
148,30,20,500000,78.15,30.2455,2364.0,181.73,254.77,372.27,356.7,602.2652099999999,118.2,30.1133
149,30,20,1000000,30.47,30.5235,930.0,487.29,650.35,976.72,960.3,604.82366,46.5,30.2412
150,30,21,10000,19127.19,30.0012,573870.0,0.73,1.1,15.85,1.44,629.6015,27327.1429,29.981
151,30,21,50000,2001.6,30.0104,60072.0,7.01,10.49,36.54,13.7,630.00737,2860.5714,30.0004
152,30,21,100000,749.88,30.0315,22523.0,18.63,27.98,66.49,36.89,630.30332,1072.5238,30.0144
153,30,21,500000,76.31,30.2805,2311.0,181.68,273.74,389.78,356.7,632.61517,110.0476,30.1245
154,30,21,1000000,28.29,30.5723,865.0,487.24,734.1,988.86,960.3,634.9985899999999,41.1905,30.238
155,30,22,10000,19357.79,30.0014,580794.0,0.73,1.14,22.69,1.44,659.6120699999999,26399.7273,29.9824
156,30,22,50000,2046.43,30.0126,61422.0,7.01,10.75,27.71,13.7,660.0069100000001,2791.9091,30.0003
157,30,22,100000,755.97,30.026,22700.0,18.63,29.09,55.42,36.89,660.27878,1031.8182,30.0127
158,30,22,500000,76.86,30.1812,2320.0,181.83,285.57,391.69,356.7,662.5113299999999,105.4545,30.1142
159,30,22,1000000,30.48,30.4717,929.0,488.62,716.15,989.84,960.3,665.30006,42.2273,30.2409
160,30,23,10000,20559.32,30.0012,616838.0,0.73,1.12,23.94,1.44,689.526,26819.0435,29.9794
161,30,23,50000,2178.26,30.0101,65373.0,7.0,10.55,56.48,13.7,689.8977199999999,2842.3043,29.9956
162,30,23,100000,816.38,30.029,24518.0,18.66,28.15,95.02,36.89,690.2980699999999,1066.0,30.013
163,30,23,500000,85.01,30.2987,2576.0,182.05,269.11,396.12,363.18,693.22363,112.0,30.1402
164,30,23,1000000,31.54,30.657,967.0,489.89,721.53,1005.5,960.3,697.71843,42.0435,30.3356
165,30,24,10000,21253.44,30.0014,637672.0,0.73,1.13,20.2,1.44,719.50308,26569.6667,29.9793
166,30,24,50000,2243.42,30.0101,67329.0,7.01,10.69,45.76,13.7,720.01206,2805.375,30.0005
167,30,24,100000,838.76,30.0264,25188.0,18.66,28.59,74.77,36.89,720.21849,1049.5,30.0091
168,30,24,500000,84.39,30.1907,2548.0,182.08,283.57,418.43,363.18,722.52508,106.1667,30.1052
169,30,24,1000000,31.3,30.6082,958.0,491.14,759.42,1092.13,977.74,727.52038,39.9167,30.3133
170,30,25,10000,21364.61,30.0014,641002.0,0.73,1.17,27.17,1.44,749.4741,25640.08,29.979
171,30,25,50000,2241.36,30.0123,67272.0,7.02,11.15,35.01,13.95,750.0113299999999,2690.88,30.0005
172,30,25,100000,848.4,30.0278,25477.0,18.61,29.45,98.07,36.89,750.2572700000001,1019.08,30.0103
173,30,25,500000,86.67,30.238,2621.0,182.48,287.4,425.59,363.18,753.28562,104.84,30.1314
174,30,25,1000000,32.09,30.6597,984.0,491.5,772.1,1056.92,977.74,759.7418299999999,39.36,30.3897
175,30,26,10000,21762.1,30.0072,653054.0,0.73,1.19,33.39,1.44,779.51173,25117.4615,29.9812
176,30,26,50000,2244.9,30.0125,67381.0,7.02,11.58,51.87,14.21,780.01089,2591.5769,30.0004
177,30,26,100000,843.09,30.0301,25321.0,18.65,30.82,98.23,37.56,780.37753,973.8846,30.0145
178,30,26,500000,85.87,30.2413,2597.0,182.41,301.74,452.33,376.49,783.60617,99.8846,30.1387
179,30,26,1000000,31.73,30.7518,976.0,492.69,807.68,1141.38,995.51,788.29956,37.5385,30.3192
180,30,27,10000,21648.69,30.0049,649616.0,0.73,1.25,25.42,1.44,809.37874,24059.8519,29.977
181,30,27,50000,2258.32,30.0098,67775.0,7.02,11.95,73.38,14.46,809.89537,2510.1852,29.9961
182,30,27,100000,852.86,30.0348,25619.0,18.69,31.63,107.44,38.94,810.3269300000001,948.8519,30.0121
183,30,27,500000,86.62,30.2899,2624.0,182.52,310.0,462.79,383.33,813.4503199999999,97.1852,30.1278
184,30,27,1000000,32.04,30.681,983.0,492.41,834.32,1097.2,995.51,820.13434,36.4074,30.3753
185,30,28,10000,21881.78,30.0015,656522.0,0.73,1.28,36.58,1.47,839.43906,23447.2143,29.98
186,30,28,50000,2271.44,30.0111,68172.0,7.02,12.32,53.78,14.46,840.03084,2434.7143,30.0011
187,30,28,100000,854.63,30.0298,25668.0,18.7,32.74,85.29,38.94,840.29697,916.7143,30.0106
188,30,28,500000,87.17,30.2703,2639.0,182.55,319.82,447.36,383.33,843.9943900000001,94.25,30.1427
189,30,28,1000000,32.27,30.6422,989.0,496.05,857.69,1151.01,1013.6,848.25587,35.3214,30.2949
190,30,29,10000,21973.4,30.0013,659265.0,0.73,1.32,77.45,1.5,869.42025,22733.2759,29.98
191,30,29,50000,2278.65,30.0119,68393.0,7.01,12.72,60.85,15.0,870.0663199999999,2358.3793,30.0023
192,30,29,100000,853.63,30.026,25634.0,18.75,33.95,110.33,40.37,870.23514,883.931,30.0081
193,30,29,500000,87.25,30.2991,2644.0,184.35,330.48,477.63,390.3,873.79812,91.1724,30.131
194,30,29,1000000,32.45,30.6319,994.0,495.47,885.89,1149.27,1032.01,880.57764,34.2759,30.3647
195,30,30,10000,22042.63,30.0013,661342.0,0.73,1.36,84.27,1.52,899.4059100000001,22044.7333,29.9802
196,30,30,50000,2287.88,30.0206,68687.0,7.03,13.1,124.59,15.27,900.02016,2289.5667,30.0007
197,30,30,100000,859.64,30.0457,25830.0,18.67,34.86,101.23,41.85,900.5047900000001,861.0,30.0168
198,30,30,500000,87.44,30.2784,2648.0,183.83,341.74,634.59,404.61,904.93769,88.2667,30.1646
199,30,30,1000000,32.37,30.7698,996.0,499.64,915.72,1391.12,1050.76,912.06104,33.2,30.402
200,30,31,10000,22047.53,30.0015,661492.0,0.73,1.4,45.44,1.52,929.25532,21338.4516,29.976
201,30,31,50000,2284.96,30.013,68582.0,7.04,13.56,73.53,17.32,930.0500400000001,2212.3226,30.0016
202,30,31,100000,857.04,30.0346,25744.0,18.76,36.14,119.05,48.34,930.28532,830.4516,30.0092
203,30,31,500000,87.54,30.2444,2648.0,184.2,352.46,765.3,442.73,933.3207600000001,85.4194,30.1071
204,30,31,1000000,32.41,30.6661,994.0,499.17,945.88,1561.95,1170.65,940.2023399999999,32.0645,30.3291
205,30,32,10000,22057.37,30.0014,661785.0,0.73,1.45,73.7,1.55,959.31644,20680.7812,29.9786
206,30,32,50000,2278.96,30.0507,68488.0,7.02,14.01,93.02,28.67,959.8309,2140.25,29.9947
207,30,32,100000,859.37,30.0291,25809.0,18.75,37.21,135.86,66.84,960.26235,806.5312,30.0082
208,30,32,500000,87.56,30.2848,2652.0,183.36,363.64,772.52,539.71,964.3682,82.875,30.1365
209,30,32,1000000,32.4,30.7355,996.0,499.59,975.63,1907.44,1376.6,971.7269200000001,31.125,30.3665
210,30,33,10000,22064.24,30.0015,661995.0,0.73,1.49,53.46,1.55,989.30768,20060.4545,29.979
211,30,33,50000,2281.62,30.0175,68492.0,7.02,14.45,118.92,29.72,989.97711,2075.5152,29.9993
212,30,33,100000,856.54,30.0272,25721.0,18.72,38.49,141.26,68.05,990.12375,779.4242,30.0037
213,30,33,500000,87.28,30.3127,2646.0,183.67,376.01,904.78,646.19,994.9133499999999,80.1818,30.1489
214,30,33,1000000,32.44,30.787,999.0,501.45,1006.6,2065.45,1453.01,1005.59604,30.2727,30.4726
215,30,34,10000,22033.92,30.0016,661086.0,0.73,1.54,53.64,1.52,1019.27622,19443.7059,29.9787
216,30,34,50000,2278.54,30.026,68419.0,7.01,14.91,99.14,29.72,1019.96983,2012.3235,29.9991
217,30,34,100000,855.63,30.0343,25701.0,18.76,39.69,176.03,69.29,1020.18568,755.9118,30.0055
218,30,34,500000,87.53,30.2839,2651.0,184.61,386.62,817.42,682.06,1024.93599,77.9706,30.1452
219,30,34,1000000,32.44,30.7264,997.0,506.3,1037.03,2000.66,1648.2,1033.9194499999999,29.3235,30.4094
220,30,35,10000,22023.97,30.0038,660837.0,0.73,1.59,121.46,1.58,1048.7417,18881.0571,29.964
221,30,35,50000,2287.61,30.0128,68661.0,7.01,15.29,96.51,29.72,1049.87898,1961.7429,29.9965
222,30,35,100000,858.86,30.0368,25801.0,18.68,40.72,161.2,71.83,1050.50179,737.1714,30.0143
223,30,35,500000,87.24,30.3134,2645.0,185.23,399.35,916.85,707.07,1056.28581,75.5714,30.1796
224,30,35,1000000,32.49,30.6556,996.0,500.8,1066.86,2025.29,1771.29,1062.5948799999999,28.4571,30.3599
225,30,36,10000,22081.86,30.0022,662539.0,0.73,1.63,65.44,1.61,1079.3271499999998,18403.8611,29.9813
226,30,36,50000,2287.27,30.0131,68652.0,7.04,15.73,76.47,29.72,1079.95182,1907.0,29.9987
227,30,36,100000,858.7,30.0314,25791.0,18.7,41.89,147.16,81.48,1080.36253,716.4167,30.0101
228,30,36,500000,87.5,30.3156,2653.0,183.53,409.52,892.94,707.07,1086.46645,73.6944,30.1796
229,30,36,1000000,32.33,30.7438,994.0,498.23,1099.01,2023.67,1836.24,1092.41334,27.6111,30.3448
230,30,37,10000,22057.28,30.0031,661821.0,0.73,1.68,63.01,1.61,1109.12348,17887.0541,29.9763
231,30,37,50000,2282.63,30.0116,68511.0,7.01,16.2,112.65,29.72,1109.59032,1851.6486,29.9889
232,30,37,100000,856.68,30.0358,25735.0,18.76,43.14,175.7,84.47,1110.21775,695.5405,30.0059
233,30,37,500000,87.45,30.2774,2648.0,183.98,421.16,849.42,719.92,1115.21877,71.5676,30.141
234,30,37,1000000,32.36,30.805,997.0,493.44,1127.7,2057.22,1869.6,1124.31549,26.9459,30.3869
235,30,38,10000,22057.47,30.0023,661809.0,0.73,1.72,69.03,1.64,1139.02525,17416.0263,29.9743
236,30,38,50000,2286.4,30.0129,68625.0,7.03,16.61,89.76,29.72,1139.94549,1805.9211,29.9986
237,30,38,100000,857.66,30.0357,25763.0,18.76,44.27,161.94,84.47,1140.4821499999998,677.9737,30.0127
238,30,38,500000,87.49,30.3215,2653.0,183.89,432.12,861.81,733.0,1146.40344,69.8158,30.1685
239,30,38,1000000,32.37,30.8581,999.0,498.09,1160.99,2009.0,1869.6,1159.83056,26.2895,30.5219
240,30,39,10000,22069.4,30.0033,662187.0,0.73,1.76,93.14,1.64,1168.48125,16979.1538,29.9611
241,30,39,50000,2279.67,30.0138,68425.0,7.03,17.1,133.48,29.72,1169.82754,1754.4872,29.9956
242,30,39,100000,855.69,30.0332,25701.0,18.74,45.53,244.68,84.47,1170.1856699999998,659.0,30.0048
243,30,39,500000,87.48,30.3092,2652.0,184.12,443.78,861.57,733.0,1176.89976,68.0,30.1769
244,30,39,1000000,32.45,30.8112,1000.0,506.3,1187.72,2378.07,1903.57,1187.7234099999998,25.641,30.4544
245,30,40,10000,22044.93,30.0158,661729.0,0.73,1.81,89.37,1.67,1198.90727,16543.225,29.9727
246,30,40,50000,2284.53,30.0242,68597.0,7.03,17.49,151.04,29.72,1199.84439,1714.925,29.9961
247,30,40,100000,858.52,30.0489,25801.0,18.72,46.52,226.99,84.47,1200.19805,645.025,30.005
